Role,Company,Location,Contract,Salary,Job_description
Artificial Intelligence – Data Scientist,Deutsche Bank,London,NA,NA,"Job Title: Artificial Intelligence – Data Scientist Location: London Corporate Title: Assistant Vice President/Vice President As part of our global team you will work on various components as an Artificial Intelligence (AI) Engineer. Your role includes specification, development, as well as the testing and rollout of new features of AI system. You are expected to contribute to the vision, understand our product roadmap, integrate business value with experience and contribute to building an engineering culture within the team. What we’ll offer you: A healthy, engaged and well-supported workforce are better equipped to do their best work and, more importantly, enjoy their lives inside and outside the workplace. That’s why we are committed to providing an environment with your development and wellbeing at its centre. You can expect: Competitive salary and non-contributory pension 30 days’ holiday plus bank holidays, with the option to purchase additional days Life Assurance and Private Healthcare for you and your family A range of flexible benefits including Retail Discounts, a Bike4Work scheme and Gym benefits The opportunity to support a wide ranging CSR programme + 2 days’ volunteering leave per year Your key responsibilities: Designing, developing, deploying and managing new functionality of AI Advisor and build data sourcing and integration layer of AI engine Keeping current of latest AI research relevant to our business domain Code, test, and review other team member’s changes Documenting business and functional requirements, design decisions and Application Programming Interface (API) and partnering with Quality Assurance team on test automation of new and existing functionalities Contributing to the definition of the future state of the system architecture and when product and architecture experience gained, mentor and direct more junior developer Your skills and experience: Educated to Bachelor’s degree level or equivalent qualification/relevant work experience (a degree or higher in computer science, artificial intelligence, machine learning (ML), statistics, robotics, computational biology, and engineering or equivalent experience would be beneficial) Hands-on experience in C#/Java/Groovy, Python, Anaconda, PyCharm, Spark, Flink, Fabric in both supervised machine learning and unsupervised machine learning techniques in a deep Neural Network model Strong hands-on experience of Python, AI, ML, Kafka, Oracle, Hadoop, Flink, Jupyter Notebook, or other data science packages Hands-on knowledge of Spring, Swagger/Open API, Maven, SQL, and Web User Interface technologies is hugely beneficial Experience with modern Software Development Life Cycle tools - Git, JIRA, Artifactory, Jenkins/TeamCity, OpenShift is beneficial How we’ll support you: Training and development to help you excel in your career Flexible working to assist you balance your personal priorities Coaching and support from experts in your team A culture of continuous learning to aid progression About us and our teams:  Deutsche Bank is the leading German bank with strong European roots and a global network. Click here to see what we do. Our values define the working environment we strive to create – diverse, supportive and welcoming of different views. We embrace a culture reflecting a variety of perspectives, insights and backgrounds to drive innovation. We build talented and diverse teams to drive business results and encourage our people to develop to their full potential. Talk to us about flexible work arrangements and other initiatives we offer.  We promote good working relationships and encourage high standards of conduct and work performance. We welcome applications from talented people from all cultures, countries, races, genders, sexual orientations, disabilities, beliefs and generations and are committed to providing a working environment free from harassment, discrimination and retaliation."
CDO Data Scientist,CITI,London,NA,NA,"Responsibilities: Acts a key contributor to future strategy of Data Quality initiatives. Manages a variety of broad based and complex issues requiring conceptual analysis. Applies in-depth industry knowledge; applies broad and comprehensive understanding in multiple functional areas as well as underlying business principles. Provides evaluative judgment based on analysis of factual information in complicated, unique and dynamic situations; draws on diverse range of internal and external sources. Conducts strategic data analysis, identifies insights and implications and make strategic recommendations, develops data displays that clearly communicate complex analysis Mines and analyzes data from various banking platforms to drive optimization and improve data quality Deliver analytics initiatives to address business problems with the ability to identify data required, assess time & effort required and establish a project plan Consults with business clients to determine system functional specifications. Applies comprehensive understanding of how multiple areas collectively integrate to contribute towards achieving business objectives Consults with users and clients to solve complex system issues/problems through in-depth evaluation of business processes, systems and industry standards; recommends solutions May lead system change process from requirements through implementation; provides user and operational support of application to business users Formulates and defines systems scope and goals for complex projects through research and fact-finding combined with an understanding of applicable business systems and industry standards Considers the business implications of the application of technology to the current business environment; identifies and communicates risks and impacts Drives communication between business leaders and IT; exhibits sound and comprehensive communication and diplomacy skills to exchange complex information Appropriately assess risk when business decisions are made, demonstrating particular consideration for the firm's reputation and safeguarding Citigroup, its clients and assets, by driving compliance with applicable laws, rules and regulations, adhering to Policy, applying sound ethical judgment regarding personal behavior, conduct and business practices, and escalating, managing and reporting control issues with transparency. Performs other duties and functions as assigned. Qualifications: 10+ years experience using tools for statistical modeling of large data sets Process Improvement or Project Management experience Knowledge of advanced statistical techniques and concepts and experience Excellent written, verbal and analytical skills Must be a self-starter, flexible, innovative and adaptive Highly motivated, strong attention to detail, team oriented, organized Strong presentation skills with the ability to articulate complex problems and solutions through concise and clear messaging Ability to work collaboratively with regional and global partners in other functional units; ability to navigate a complex organization; to influence and lead people across cultures at a senior level Education: Bachelor’s/University or Master’s degree or equivalent experience, This job description provides a high-level review of the types of work performed. Other job-related duties may be assigned as required. - Grade :All Job Level - All Job Functions - Time Type :Full time - Citi is an equal opportunity and affirmative action employer. Minority/Female/Veteran/Individuals with Disabilities/Sexual Orientation/Gender Identity. Citigroup Inc. and its subsidiaries (""Citi”) invite all qualified interested applicants to apply for career opportunities. If you are a person with a disability and need a reasonable accommodation to use our search tools and/or apply for a career opportunity . To view the ""EEO is the Law"" poster . To view the EEO is the Law Supplement . To view the EEO Policy Statement . To view the Pay Transparency Posting ."
"Data Scientist - App Store, Apple Music, Apple TV and related products.",Apple,London,NA,NA,"Summary Posted: Feb 6, 2020 Weekly Hours: 35 Role Number:200142293 We are looking for an individual with an exceptional data science skillset to join our Apple Media Products Big Data Science team. Our team supports data science solutions for App Store, Apple Music, Apple TV, iTunes Store and related products. Key Qualifications Strong working knowledge of supervised and unsupervised machine learning models Experience in coding using Python, Scala, or another high-level programming language Experience in data processing/modelling using Spark and working knowledge of big data distribution system Working knowledge of data science production process (unit tests, data pipelines, etc.) Experience in building the data products is a high advantage Proven track record of delivering high quality analytical insights and data science solutions Demonstrable experience of using novel analysis or methodologies to make significant impact, on either product or research Solid sense of initiative and ability to drive projects to completion Highly motivated and self driven Superb communication skills both written and verbal Description Our data science team is responsible for building reports and data science models to improve how customers interact with our products. The data scientist will work with large-scale datasets to do feature engineering and selection, train and build machine learning models and custom algorithms, evaluate and measure model performance, and work with partners on model adoptions. You will work closely with data engineers, program managers and business partners to understand problems, define and build solutions, measure and communicate results. The role requires both a broad knowledge of existing machine learning algorithms and creativity to invent and customise the algorithms when necessary. Education & Experience MS/PhD in Statistics, Computer Science, or other quantitative disciplines. Other and equivalent backgrounds may be considered. Additional Requirements We acknowledge the novelty of the data scientist’s role in the analytical world and actively encourage the team to explore and learn. Therefore, it is desirable to be self-motivated when it comes to development and stay on the top of new techniques and research in the world of data. As a part of the team, you will be encouraged to participate in the conferences and workshops both internal and external."
Junior Data Scientist – Marketing Mix Modelling,Hasson Associates,London,NA,"£30,000 - £40,000 a year","Junior Data Scientist – Marketing Mix Modelling  £30,000 to £40,000  This is a great opportunity for a talented analyst with marketing mix modelling experience to join this well-established independent tech consultancy with an impressive portfolio of international clients.  Here you will be joining a talented team of analysts, programmers and researchers who build predictive models and develop in-depth insights utilising advanced multivariate statistical analysis techniques including, but not limited to: clustering, segmentation, conjoint, choice modelling to provide marketing insights to a wide range of clients.  As a marketing scientist, you will assist with research design and be responsible for analysing data from a range of sources including survey, social media, marketing databases, transactional and attitudinal etc. You will be client-facing and will play a key role in helping clients to make insightful and intelligent business decisions.  The ideal candidate will have the following software skills: Highly Proficient in statistical techniquesGood Excel skills including VBA (Desirable), VLookupsR or PythonMarketing Mix Modelling and ecometrics Practical experience will including running analysis and predictive models such as: Linear or Logistic Regression (essential)Structural Equation Modelling (SEM)- (desirable)Factor analysis, decision, trees, Discrete Choice/ Conjoint MaxDiff models (desirable)Time Series and Econometrics models (desirable) To be successful in this role you will have a degree with high mathematical content and have gained data analysis experience, in a research environment, and have the ability to program in at least one stats software language. You will have an interest in research and its application to business challenges and be excited by a true challenge. If you love all things data, please get in touch to find out more…"
Data Scientist,Consortia,London,Permanent,"£75,000 - £85,000 a year","We're on the lookout for a Data Scientist to join a leading analytics company in London who are looking to expand their current Data team.  The role will be to build sophisticated machine learning models around audience modelling, behaviour analysis and optimisation models to name a few. You will also undertake critical research into understanding causes to changing metrics and helping to build a clear understanding of their customers, user interactions, trends etc. The company are highly data driven and data science will be a large part of the companies planned growth this year. You will work alongside the product team to turn your ideas into reality and help support your research and delivery. They see you coming from a analytical and statistical background that will prove key to help drive quantitative analyses on large and sometimes complex datasets but ideally with some knowledge of: • Python • MySQL • TensorFlow • SciKit-Learn • AWS They have a great benefits package, relaxed and “start up” feel to the office. Everyone is friendly and approachable all the way to board level and MD."
Data Scientist,Artefact,London,NA,NA,"Who we are  Artefact is a new generation of a data service provider, specialising in data consulting and data-driven digital marketing, dedicated to transforming data into business impact across the entire value chain of organisations. We are proud to say we're enjoying skyrocketing growth.  Our broad range of data-driven solutions in data consulting and digital marketing are designed to meet our clients' specific needs, always conceived with a business-centric approach and delivered with tangible results. Our data-driven services are built upon the deep AI expertise we've acquired with our 1000+ client base around the globe.  We have 1000 employees across 20 offices who are focused on accelerating digital transformation. Thanks to a unique mix of company assets: State of the art data technologies, lean AI agile methodologies for fast delivery, and cohesive teams of the finest business consultants, data analysts, data scientists, data engineers, and digital experts, all dedicated to bringing extra value to every client.  Your Role  You will support the data and analytics team with the enhancement of reporting and by providing insights across multiple clients and verticals. You will research and prepare data analysis, prepare campaign insights and work with clients and internal teams to ensure performance methods and metrics drive client relationships.  Main Responsibilities Deliver analytics work for key client accounts as assigned to you by the team to increase performance and drive success Use a variety of analytical tools to assess activity and presence, establishing client market share and to spot opportunities for growth and/or content promotion - R, MySQL, Python, Excel Produce high impact performance reports for clients Troubleshoot data inconsistencies & inaccuracies. Pro-actively identifying and suggesting improvements Forecast relevant KPI's and metrics for existing clients or new business opportunities (e.g. search volume and behaviour, content engagement, ranking etc) Assimilate data from multiple sources (including SEO reporting tools, Google Analytics, Omniture, Google Trends, Google Webmaster Tools) and present the data in a visual and meaningful way, utilising a variety of tools Analyse the effect of different online and offline channels and their attribution Apply statistical analysis and logic to client data Analyse UX and CRO related data (user journey; conversion performance; engagement; and funnel analysis) and providing relevant insights to UX projects Use a variety of analytical tools to assess competitor market activity and profiles, identifying opportunities for growth and promotion Proactively seek training and continuing professional development to stay up to date with developments, analytical updates, and process changes Carry out other ad hoc tasks to support the team as required  Day to day Building reports from this in data studio Help with SQL side of joining data for reporting Ad hoc analysis parts (causal impact) Assisting in forecasting for new & existing business (- > leading in 6/12 months) Assisting client teams in finding further insights for monthly / quarterly reviews (6month) Training / self-learning on tools like R, MySQL, Python  Skills Required 1 years + experience in analytics in a digital marketing environment Good understanding of analytic tools and the factors that influence client websites, search profiles and performance Comprehensive understanding and passion for digital, web analytics and PPC Ability to conduct research and present back findings coherently Ability to multi task in a fast-moving environment Initiative and self-motivation Excellent attention to detail Strong excel and word experience Experience in R, MySQL, Python Confident communication skills  Technical Basic understanding of data interrogation techniques that highlight data trends or discrepancies Basic understanding of statistical methods of forecasting and measuring and analysing trends Can identify opportunities through data to connect physical and digital customer journeys Ability to translate complicated technical requirements to a non-technical audience Experienced trouble shooter who can identify issues and deliver solutions quickly  Why you should join us Artefact is the place to be: come and build the future of marketing Progress: every day offers new challenges and new opportunities to learn Culture: join the best team you could ever imagine Entrepreneurship: you will be joining a team of driven entrepreneurs. We won't give up until we make a huge dent in this industry!  Come join us!"
Data Scientist,JohnsonBIM (MJ3927),Croydon,"Full-time, Permanent","£30,000 - £60,000 a year","OPPORTUNITYA potentially life changing career move - joining a highly successful, established, digital construction consultancy as they start a new data centric technology division.THE COMPANYThought leading digital transformation specialists creating the standard for digitalisation across the construction industry.Now with their new digital construction techology division increasing they are increasing investment into digital strategies, data and management of information for the built environment.They are also highly regarded for their commitment to staff well being and have another division that focusses on best practice 'wellness'.THE ROLEWe are looking for career centric, exciting, data scientists with a real desire to bring about positive changes to organisations by using data more intelligently.If you have a talent for discovering hidden insights from multiple complex data sources and can communicate your findings persuasively this is a great opportunity to impress and progress as the division grows.Experience with information modelling, design and development of databases, data warehouses and multidimensional databases is important but as this is a new team, there are a variety of opportunities from trainee analysts to senior client account managers. All require people who already stand out from the crowd - or want to - and want to be part of a team renowned for industry leading innovation and excellence.Salary will be dependant upon experience but this client is renowned for rewarding exceptional talent well - both financially and with career progression.Benefits:Work from home opportunitiesJob Types: Full-time, PermanentSalary: £30,000.00 to £60,000.00 /yearExperience:Data Analysis: 1 year (Required)"
Data Scientist,ProFinda,London,NA,NA,"Data Scientist  ProFinda Headquarters: London, UK https://profinda.com ProFinda is a software company pioneering “Workforce Optimisation”. This emerging £2.8bn software category will transform organisational productivity and the employee talent agenda. With our unique technology, our global clients and channel partnerships we are entering a massively exciting growth phase.ProFinda is headquartered in London. Since going live in 2011, ProFinda has become an award-winning enterprise technology solution with a focus on professional services and other knowledge-driven industries.These organisations have been spending millions on talent systems that haven’t given them the information they need about their own employee’s skills, let alone their total talent pool including contingent and alumni workers. As a result, employees are left unengaged and under-utilised while these organisations spend more money sourcing contingent workers to fill the gap, and not necessarily the right ones.ProFinda is a workforce optimisation platform that maps the skills, knowledge, and expertise available across an organisation's total talent supply chain of internal, contingent and alumni workers.By implementing ProFinda a company can now far better match their available talent internally and externally with the right opportunities at the right time, increasing engagement, productivity, and efficiency while decreasing costs. We use our proprietary skills ontology and machine learning to build an accurate knowledge base of the skills and experiences of employees, contractors, and alumni for major enterprises.We believe we are changing the way companies think about their people and the way people think about their own careers, by making the total talent pool a reality. To take customers on this journey we need to win their confidence, excel at delivery and continually delight them as the product grows and changes. We treat each client like they were our first and want to find people who are as passionate as we are about client’s successes.What we are looking for  We're looking for a Data Scientist with 5 or more years of demonstrable experience to work with our Intelligence team on building a semantic, local-grammar based system.  This is a full time role and we would expect the successful candidate to spend at least two days a week in the London Office with the option to work from home on the other days. As part of your role you will be able to architect and solve complex problems with the best tools you can find. You will research and develop Natural Language Processing and Machine Learning algorithms, along with existing libraries usage and will be responsible for new ways of data usage discovery. You will also assist in product development, looking at things from a data perspective and be responsible for key textual data problems, suggestions and deep search.   Skills & Requirements: An experience with advanced application architectures (5+ years)Experience working with UniTexKeen interest in cutting-edge ML/NLP solutions and technologiesExperience with Ruby, Python or Java will help but we can help you learn these if your experience in another language is goodExperience with AWS servicesKnowledge of search systems (like Elasticsearch)The ability to quickly mockup a solution using one of common ML/NLP libraries (like OpenNLP, Gensim, NLTK and so on)An ability to draft a service for subsequent usage by other team membersStrong Database knowledge (relational, non-relational and graph)Familiarity with using REST APIsGood writing skills, with a passion for documentingExcellent knowledge of English (spoken and written)Work in an agile teamUnderstand the structure of existing applications and how to work with themInteract daily with members of your team and other teams within the broader Engineering teamReview commits of other team members  Nice to haves: Knowledge of Docker and/or SpaCy  We value intelligence, creativity and friendliness so you will be working with a friendly innovative bunch who are not afraid of trying new things and doing things differently."
Data Scientist,GSK,Brentford,NA,NA,"Site Name: UK - London - BrentfordPosted Date: Apr 23 2020 Data Scientist Job Purpose This is an exciting opportunity to passionate team working to support GSK Consumer Healthcare in its journey to becoming a more data driven and innovative organisation. Data is a key tenet underpinning our transformation journey following the joint venture with Pfizer this year and our 3-year plan to become a separate company. As such, you have the opportunity to be a key driver of our success. GSK CH are successful global brand, and as such have access to hundreds of data sets where your skills can make a difference. In marketing, customer understanding, new product development, supply chain and finance, we are looking for candidates who can use their knowledge and creativity to make a meaningful impact. The scale of the challenges you will face are global, and the solutions will be too. Our organisation is undergoing agile transformation. We are looking for candidates who will drive a test and learn approach, and who can bring ideas from concept to production. This is a unique opportunity to be part of a team of highly skilled Data Scientists where you have the opportunity to solve really interesting problems using data science. You will be exploring cutting edge ML techniques to discover patterns and predictions to help solve customer needs. You will help lead complex and diverse projects to leverage Data Science techniques which will result in measurable commercial benefit. You will also have the opportunity to help build a data science community, as we invest in academic partnerships, mentor and apprenticeship schemes. You will be seen as a leader in your specific academic discipline and your thought leadership will command attention in the wider data science community. GSK has long supported the development of it’s employees and you will be supported to grow and progress in your career. You will also be excited to champion our Data for Good agenda through sustainable projects and company supported pro-bono charity work. Data ethics are important to us and we are looking for candidates who feel the same way. Basic Qualifications: As a Data Scientist, you: Will be curious, enjoy problem solving and have empathy for the problems you are challenged with Will have experience as a data scientist in an industrial environment Demonstrable experience contributing to a data science project lifecycle. Can coordinate and manage competing priorities across a portfolio of projects Compile, integrate, and analyse data from multiple sources to answer business questions Have the ability to conceptualize, formulate, prototype and implement algorithms to capture customer behaviour and solve business problems. Experience communicating complex data science concept's to other business stakeholders. Practical experience developing and implementing machine learning on large data sets. Good knowledge in mining large & complex data sets using SQL, Hadoop, NoSQL or Spark. Have in depth understanding of statistical modelling techniques and the mathematical foundations of applied ML and AI algorithms and models Desirable Skills: As a Data Scientist, you: Have a good working knowledge cloud based and local data science frameworks and toolkits. Are experienced in Agile methodologies and the hypothesis-driven approach Have a deep knowledge of a sufficiently broad area of technical specialism (e.g. Machine Learning, Optimisation, Applied Mathematics, Simulation, etc.), and are a valued and trusted expert Have a practical understanding of machine learning, Deep Learning and natural language understanding/processing or speech recognition Experience building large scale machine learning systems Experience with Cuda, pyTorch or TensorFlow. People & Team Management As a Data Scientist, you: Motivate, inspire, coach, mentor colleagues within the Data Science team to help them develop technical excellence. Have the ability to define clear objectives for individuals you may manage. Ensure there is proactive engagement in personal development of themselves and individuals they may manage support by a development plan. Carry out people routines for direct reports functional requirements Why GSK? Our values and expectations are at the heart of everything we do and form an important part of our culture. These include Patient focus, Transparency, Respect, Integrity along with Courage, Accountability, Development, and Teamwork. As GSK focuses on our values and expectations and a culture of innovation, performance, and trust, the successful candidate will demonstrate the following capabilities: Agile and distributed decision-making – using evidence and applying judgement to balance pace, rigour and risk. Managing individual and team performance. Committed to delivering high quality results, overcoming challenges, focusing on what matters, execution. Implementing change initiatives and leading change. Sustaining energy and well-being, building resilience in teams. Continuously looking for opportunities to learn, build skills and share learning both internally and externally. Developing people and building a talent pipeline. Translating strategy into action - a compelling narrative, motivating others, setting objectives and delegation. Building strong relationships and collaboration, managing trusted stakeholder relationships internally and externally. Budgeting and forecasting, commercial and financial acumen. As a company driven by our values of Patient focus, Transparency, Respect and Integrity, we know inclusion and diversity are essential for us to be able to succeed. We want all our colleagues to thrive at GSK bringing their unique experiences, ensuring they feel good and to keep growing their careers. As a candidate for a role, we want you to feel the same way. As an Equal Opportunity Employer, we are open to all talent. In the US, we also adhere to Affirmative Action principles. This ensures that all qualified applicants will receive equal consideration for employment without regard to race/ethnicity, colour, national origin, religion, gender, pregnancy, marital status, sexual orientation, gender identity/expression, age, disability, genetic information, military service, covered/protected veteran status or any other federal, state or local protected class*(*US only). We believe in an agile working culture for all our roles. If flexibility is important to you, we encourage you to explore with our hiring team what the opportunities are. Please don’t hesitate to contact us if you’d like to discuss any adjustments to our process which might help you demonstrate your strengths and capabilities. You can either call us on 0808 234 4391, or send an email ukdiversity.recruitment@gsk.com As you apply, we will ask you to share some personal information which is entirely voluntary. We want to have an opportunity to consider a diverse pool of qualified candidates and this information will assist us in meeting that objective and in understanding how well we are doing against our inclusion and diversity ambitions. We would really appreciate it if you could take a few moments to complete it. Rest assured, Hiring Managers do not have access to this information and we will treat your information confidentially. Important notice to Employment businesses/ Agencies GSK does not accept referrals from employment businesses and/or employment agencies in respect of the vacancies posted on this site. All employment businesses/agencies are required to contact GSK's commercial and general procurement/human resources department to obtain prior written authorization before referring any candidates to GSK. The obtaining of prior written authorization is a condition precedent to any agreement (verbal or written) between the employment business/ agency and GSK. In the absence of such written authorization being obtained any actions undertaken by the employment business/agency shall be deemed to have been performed without the consent or contractual agreement of GSK. GSK shall therefore not be liable for any fees arising from such actions or any fees arising from any referrals by employment businesses/agencies in respect of the vacancies posted on this site. Please note that if you are a US Licensed Healthcare Professional or Healthcare Professional as defined by the laws of the state issuing your license, GSK may be required to capture and report expenses GSK incurs, on your behalf, in the event you are afforded an interview for employment. This capture of applicable transfers of value is necessary to ensure GSK’s compliance to all federal and state US Transparency requirements. For more information, please visit GSK’s Transparency Reporting For the Record site."
Remote or Cambridge Based - Data Scientist / Machine Learning,GCS Recruitment Specialists Ltd,London,Permanent,"£25,000 - £65,000 a year","Data Science / Machine LearningIOT / Warehouse management systemRemote or CambridgeSalary dependent on experience The Role To work on a greenfield IOT warehouse management system.The Person You will be a problem solver above all else, open to using new technologies and have an R&D mind-set. Strong academics help. The Requirements MSc or PhD in a quantitative or technical discipline (Computer Science, Maths/Statistics, NatSci, Engineering or similar) Proficiency in Python Understanding of statistical analysis Experience with and ability to use machine learning techniques to achieve a useful and verified outcome (e.g. cost saving) Experience with working on large data sets and data preprocessing/wrangling Familiarity with SQL databases and backend systems is a plus Strong organisational and self-starting skills, happy to work in a team and regularly communicate the results using data visualisation tools if necessary Desireable Time-series forecasting (e.g. auto-regressive models) Probabilistic machine learning (e.g. Gaussian processes) Discrete event simulation (e.g. SimPy or pure Python). Experience with simulation in general, even if not discrete event simulation, is considered an advantage. Discrete optimisation (e.g. genetic algorithms, branch & bound, constraint programming), demonstrating capacity to implement customised algorithms (as opposed to using standard, off the shelf methods).The Team The brightest in the industry, location not being a factor they have gathered great problem solvers, mathematicians and scientist to work on this greenfield project.The Project Large logistics / warehouse solutionsThe Location Remote, 1 day fortnightly in the Cambridge Office. GCS Computer Recruitment Services is acting as an Employment Agency in relation to this vacancy."
"Data Scientist, Legal",Facebook,London,NA,NA,"Want to work on social issues? Excited about solving new problems at an unheard-of scale? The OPTech Data Science team in Facebook’s Legal organization is looking for a senior Data Scientist who can apply their expertise in quantitative analysis, data mining, and the presentation of data to see beyond the numbers and understand how Facebook users interact with our consumer and business products. The ideal candidate will work across areas of Counter Terrorism, Child Safety, Organized Crime, Anti-Money Laundering, Anti-Corruption, and Ethics & Compliance to keep our platform safe. DATA SCIENTIST, LEGAL RESPONSIBILITIES Mine massive amounts of data and perform large-scale data analysis to extract useful business insights. Develop data pipelines with automated, machine-learning systems that convert noisy core datasets into powerful signals of user behavior. Building models of user behaviors for analysis or to power production systems. Partner with Integrity ML engineers, Research Scientist and Engineers to solve problems and identify trends and opportunities. Design and implement dashboards and reports that track key business metrics and provide actionable insights. Inform, influence, support, and execute our product decisions and product launches by effectively communicating results to cross functional groups. Large scale data processing using distributed systems (Hadoop, Hive, MapReduce, or MPI) Statistical analysis using R, MATLAB, SPSS, SAS, or Stata Developing in scripting language: PHP or Python MINIMUM QUALIFICATIONS Master’s degree in Statistics, Mathematics, Computer Science or a related technical field Solid programming experience, preferably Python Minimum 3 to 4 years of experience using ML techniques Experience with algorithm evaluation and determination of success criteria Experience in using quantitative analysis techniques: clustering, regression, pattern recognition, or descriptive and inferential statistics Experience working with large data sets and network-based data (TCP or HTTP), ETL (Extract, Transform, Load) processes, and relational databases (SQL or PL*SQL) PREFERRED QUALIFICATIONS PhD in a quantitative discipline and 2+ years of hands-on experience in a data focused discipline. Solid programming experience, preferably Python Facebook's mission is to give people the power to build community and bring the world closer together. Through our family of apps and services, we're building a different kind of company that connects billions of people around the world, gives them ways to share what matters most to them, and helps bring people closer together. Whether we're creating new products or helping a small business expand its reach, people at Facebook are builders at heart. Our global teams are constantly iterating, solving problems, and working together to empower people around the world to build community and connect in meaningful ways. Together, we can help people build stronger communities — we're just getting started. Facebook is committed to providing reasonable accommodations for qualified individuals with disabilities and disabled veterans in our job application procedures. If you need assistance or an accommodation due to a disability, you may contact us at accommodations-ext@fb.com."
Data Scientist - Clean Energy,Harnham,London,Permanent,"£65,000 - £75,000 a year","Data ScientistLondon £75,000 + Bonus OVERVIEW Harnham are currently working with fantastic tech company who are currently building a real-time platform through which energy companies can optimise essential assets, as well as improve energy efficiency. Not only does this bring a huge benefit to businesses looking to maximise their energy consumption, it is also of great benefit to the environment due to its excellent use of renewable energy sources. You will research and develop cutting-edge machine learning techniques which will sit at the heart of this platform, and work closely with Data Engineers and Software Architects to help a product which is disrupting the energy space. Tech stack: Python, Spark, SQL. THE ROLE On a daily basis you will be: Researching and developing machine learning algorithms to help solve high-level optimisation problems Act as research lead, driving methodologies used by the company Collaborate with a wider team of data scientists and engineers Getting stuck in with many aspects of start-up life (new problems coming in thick and fast!) SKILLS AND EXPERTISE Experience of applied machine learning to real-world problems Expert knowledge of Python Have experience in data engineering best-practice and principles An MSc or Ph.D. in Computer Science, Machine Learning, Artificial Intelligence, Deep Learning etc. HOW TO APPLY To be considered for this exciting opportunity, please submit your details using the Apply button on this page. Or for more information regarding other roles please contact Nick Mandella at Harnham. SALARY This pays up to £75,000 + benefits."
Senior Data Scientist,Barclays,London E14,Permanent,NA,"Senior Data ScientistLondon The People Analytics team has a global remit to provide HR reporting and analytics to HR and the business, in order to enable data-led decisions which will have an impact on over the entire global workforce. It is an exciting time to join the team, as we evolve in our analytics journey and start to build a machine learning and predictive analytics capability to complement an already mature HR reporting and dash boarding service offering. Data, MI & Analytics, are key pillars for HR transformation and as such this journey is fully supported by our senior leadership. This role is responsible for the technical lead and continuous technical development of Data Science guild within the People Analytics team. In this role, you will use a combination of computing, mathematics and statistics to explain, understand, predict and prescribe recommendations on selection, development and retention of colleagues across the bank. In addition, you will be required to advise and deliver on the future strategy of the team in coordination with the other guild leads, develop the appropriate technical skills within the Data Science guild and closely work with key stakeholders and customers. What will you be doing?As the lead data scientist provide technical leadership to the People Analytics teamBe a technical role model for the fellow data science team, shaping technical direction for both you and the wider teamLiaise with data engineers to agree selection of required data to produce the most relevant business insights oResponsible for the technical development of the Data Scientists in the People Analytics team oAssist in the definition of future analytics strategy and the development of tools to meet that strategy oEngage with the Data Scientists across Barclays to encourage organisational wide learning and collaborationAs part of a multi-disciplinary team deliver oIdeation, design, prototyping and deployment of Data Science products, powered by scalable machine learning models oStandard processes to ensure that Analytics follows best practice data privacy and data governance oBusiness case, technical feasibility and implementation roadmap for new analytics technologies, which are required to deliver people insights, using an agile methodology, which will be actioned by senior business leaders What we’re looking for:Significant proven experience of working in a multidisciplinary analytics team, and a detailed knowledge of key analytics capabilitiesEvidence of leading technical teams, evidence of mentoring and coaching more junior team members in technical and non-technical skills, prioritising work across multiple projectsStrong experience using open source programming language for large scale analysis (Python or/and R, PySpark, Scala) and relational databases (MongoDB, DATASTAX, Teradata, Parquet, Hive) and using SQL to query databasesStrong experience training and production of machine learning models using both structured and unstructured data in big data pipelines, for example AWS / Azure / Google Cloud or othersA strong mathematical and statistical background with a strong understanding of statistical inference, Experimental Design, sampling and simulationExperience in large scale A/B experimentation and familiarity with both Bayesian and frequentist approachesBe keen to get to know and understand the HR and people analytics world and be enthused by how analytics can influence business decisions that relate to people and the wider businessExperience in delivering easy to understand findings to business stakeholders (including C-suite and Business Partners) Skills that will help you in the role:Msc/PhD educated in Computer Science, Statistics and Mathematics or similarD3 and other visualization tools i.e. Tableau, QlikViewHigh-end statistical tools e.g. SaS, SPSSCloud-based services i.e. AWS, Azure, Google Cloud, OpenStackDeep learning for audio and visual data analysis utilising tools such as TensorFlow, KerasInterest or experience in Natural Language Processing and behavioural analyticsBe able to work in a matrix environment within a virtual team Where will you be working? Barclays Head office, 1 Churchill Place is located in the heart of London’s financial district. Situated in Canary Wharf, transport links are excellent with both the Jubilee Line and DLR a short walking distance away. We are lucky to have a huge shopping center right beneath our feet with a number of well-known shops, restaurants and brands. Interested and want to know more about Barclays? Visit home.barclays/who-we-are/ for more details. Our Values Everything we do is shaped by the five values of Respect, Integrity, Service, Excellence and Stewardship. Our values inform the foundations of our relationships with customers and clients, but they also shape how we measure and reward the performance of our colleagues. Simply put, success is not just about what you achieve, but about how you achieve it. Our Diversity We aim to foster a culture where individuals of all backgrounds feel confident in bringing their whole selves to work, feel included and their talents are nurtured, empowering them to contribute fully to our vision and goals. Our Benefits Our customers are unique. The same goes for our colleagues. That's why at Barclays we offer a range of benefits, allowing every colleague to choose the best options for their personal circumstances. These include a competitive salary and pension, health care and all the tools, technology and support to help you become the very best you can be. We are proud of our dynamic working options for colleagues. If you have a need for flexibility then please discuss this with us."
